pH,TDS,Turbidity,MP_Count,Risk
7.36,261,0.74,4,Low
7.52,171,0.46,7,Medium
7.72,247,0.26,2,Low
7.42,262,0.51,3,Low
8.02,343,0.75,7,Medium
7.11,301,0.57,6,Medium
7.35,230,0.06,2,Low
7.63,987,19.53,42,High
7.59,223,0.54,0,Low
7.0,259,6.06,4,High
7.61,203,0.58,0,Low
8.33,158,0.37,1,Medium
3.06,810,19.34,29,High
7.55,162,0.36,7,Medium
13.86,217,0.49,1,High
7.42,199,3.64,7,Medium
7.76,289,0.63,7,Medium
10.39,551,0.87,44,High
8.01,197,2.52,4,Medium
5.59,625,16.27,3,High
7.0,366,15.76,15,High
7.32,52,0.19,0,High
7.0,241,0.44,2,High
7.17,200,8.23,1,High
7.77,219,0.01,4,Low
7.0,136,11.63,31,High
7.63,180,4.89,1,Medium
8.11,224,2.72,7,Medium
8.24,212,0.3,7,Medium
7.43,79,0.03,14,High
7.64,218,0.73,0,Low
7.65,212,0.45,4,Low
6.89,324,3.84,4,Medium
7.76,153,1.69,6,Medium
7.23,241,0.61,1,Low
7.49,621,16.52,14,High
7.59,227,3.13,5,Medium
7.0,61,6.32,49,High
7.0,222,6.09,39,High
7.75,312,0.85,5,Medium
7.0,571,0.6,4,High
7.24,331,2.88,2,Medium
7.0,130,19.72,16,High
7.18,259,13.58,4,High
7.45,261,5.47,4,High
7.54,219,0.74,1,Low
5.72,64,11.93,38,High
7.4,237,0.67,4,Low
6.69,206,2.39,5,Medium
7.21,250,0.61,3,Low
6.69,215,0.3,6,Medium
3.28,76,19.8,31,High
7.0,253,10.92,4,High
7.17,244,0.41,0,Low
7.95,186,0.57,3,Medium
8.29,271,3.13,0,Medium
7.51,239,3.08,5,Medium
7.58,321,4.58,5,Medium
7.75,201,0.16,1,Low
7.11,241,0.58,3,Low
3.99,101,17.97,9,High
5.24,702,6.4,4,High
7.56,213,0.77,1,Low
6.7,161,4.88,0,Medium
3.67,147,0.38,31,High
7.57,315,2.36,1,Medium
10.12,201,0.79,2,High
7.59,253,0.38,3,Low
7.0,998,0.55,41,High
11.7,234,12.7,12,High
7.24,265,0.48,2,Low
7.25,230,4.67,5,Medium
8.29,217,3.84,0,Medium
3.58,989,19.86,0,High
13.27,127,16.44,16,High
6.54,231,1.08,7,Medium
7.54,258,0.52,2,Low
2.15,238,18.83,31,High
7.38,207,0.73,3,Low
7.74,254,0.38,4,Low
7.96,176,0.15,6,Medium
8.05,250,2.07,7,Medium
7.7,281,2.8,0,Medium
7.48,249,0.25,3,Low
7.58,233,0.34,4,Low
7.62,200,0.01,1,Low
7.24,190,1.2,4,Medium
6.65,275,0.41,3,Medium
7.48,220,0.11,0,Low
7.58,348,0.28,5,Medium
7.48,239,0.27,2,Low
7.8,441,0.85,46,High
7.5,222,0.5,0,Low
7.13,213,0.03,0,Low
7.14,256,0.11,3,Low
8.44,299,0.5,5,Medium
7.11,211,0.69,4,Low
7.59,217,11.71,1,High
7.21,267,0.76,3,Low
7.69,250,4.35,5,Medium
7.3,261,0.45,4,Low
8.03,243,4.18,7,Medium
7.68,205,1.28,5,Medium
7.46,243,0.38,3,Low
7.79,59,9.24,3,High
7.65,240,0.62,2,Low
7.3,391,15.47,3,High
7.0,109,15.52,31,High
6.74,311,0.6,7,Medium
6.83,189,0.01,6,Medium
7.0,89,11.23,1,High
7.71,210,2.13,6,Medium
7.0,611,13.46,9,High
6.83,192,2.88,3,Medium
6.84,210,0.76,5,Medium
7.78,248,0.29,2,Low
7.25,246,0.72,0,Low
7.93,350,0.78,5,Medium
6.89,348,0.43,0,Medium
7.5,237,0.66,4,Low
7.32,266,0.48,0,Low
7.94,275,3.19,1,Medium
7.13,204,0.45,2,Low
7.24,188,2.59,5,Medium
7.79,256,0.74,2,Low
8.14,347,2.27,2,Medium
6.5,214,0.14,7,Medium
7.47,259,3.97,5,Medium
6.71,327,0.77,2,Medium
4.3,139,16.97,41,High
7.17,218,0.75,3,Low
7.34,330,0.61,5,Medium
7.14,229,0.75,0,Low
4.23,720,18.22,19,High
7.49,342,2.17,7,Medium
7.67,212,0.31,4,Low
8.14,346,3.31,4,Medium
7.51,215,0.31,3,Low
7.57,272,4.23,2,Medium
6.53,261,3.24,7,Medium
1.21,63,0.23,17,High
7.36,216,0.6,0,Low
11.66,209,13.35,3,High
9.31,103,10.57,22,High
11.81,83,8.46,41,High
8.03,169,4.82,0,Medium
7.8,255,0.82,2,Low
7.55,348,0.53,6,Medium
7.49,209,0.24,0,Low
7.46,218,0.51,4,Low
7.33,246,0.1,4,Low
7.76,229,0.89,1,Low
7.25,239,0.29,0,Low
7.56,297,2.69,6,Medium
7.53,200,0.06,1,Low
7.1,257,0.06,3,Low
7.24,263,0.14,9,High
7.36,256,0.51,1,Low
7.0,855,12.2,23,High
7.24,129,16.01,13,High
6.51,231,3.1,5,Medium
7.23,255,0.9,1,Low
7.64,262,0.51,4,Low
6.61,330,0.52,7,Medium
6.81,178,3.88,2,Medium
7.0,143,14.33,12,High
7.21,248,0.63,2,Low
7.15,216,0.04,3,Low
7.47,209,0.87,3,Low
7.64,264,0.19,2,Low
6.82,174,0.43,0,Medium
7.56,293,1.14,5,Medium
10.59,995,12.32,1,High
12.11,221,0.65,0,High
7.7,251,0.24,2,Low
12.18,137,0.22,9,High
6.65,193,3.83,3,Medium
7.32,269,0.11,1,Low
8.23,163,1.08,3,Medium
7.0,93,0.35,4,High
7.0,881,0.58,4,High
7.19,127,18.17,34,High
7.67,210,0.66,3,Low
9.87,949,15.01,2,High
8.41,329,4.17,0,Medium
7.77,254,0.34,0,Low
5.34,372,6.96,37,High
8.37,291,0.9,6,Medium
7.66,253,0.53,2,Low
9.6,608,18.72,8,High
