pH,TDS,Turbidity,MP_Count,pH_cat,TDS_cat,Turbidity_cat,MP_cat,Risk
7.8,318.9,0.0,0,Good,Moderate,Good,Good,Low
7.8,282.2,0.4,0,Good,Moderate,Good,Good,Low
4.6,490.3,2.5,13,Poor,Poor,Moderate,Poor,High
8.2,482.9,5.2,1,Moderate,Poor,Poor,Moderate,High
8.5,483.8,4.1,13,Moderate,Poor,Moderate,Poor,High
8.3,192.4,1.4,4,Moderate,Moderate,Moderate,Moderate,Medium
7.6,235.6,0.6,3,Good,Good,Good,Moderate,Low
6.7,187.7,4.7,1,Moderate,Moderate,Moderate,Moderate,Medium
8.4,227.0,0.5,0,Moderate,Good,Good,Good,Low
8.8,135.7,8.5,26,Poor,Poor,Poor,Poor,High
6.9,232.1,2.8,5,Moderate,Good,Moderate,Moderate,Medium
7.6,226.8,4.6,0,Good,Good,Moderate,Good,Low
7.9,320.3,1.5,0,Moderate,Moderate,Moderate,Good,Medium
8.0,240.6,0.4,0,Moderate,Good,Good,Good,Low
9.2,270.8,5.8,22,Poor,Poor,Poor,Poor,High
6.9,202.0,0.7,0,Moderate,Good,Good,Good,Low
7.4,351.0,2.0,2,Good,Poor,Moderate,Moderate,High
8.3,237.9,3.2,3,Moderate,Good,Moderate,Moderate,Medium
7.9,587.1,4.1,3,Moderate,Poor,Moderate,Moderate,High
5.6,456.1,10.4,6,Poor,Poor,Poor,Poor,High
7.4,269.5,0.0,1,Good,Good,Good,Moderate,Low
7.5,245.6,0.1,0,Good,Good,Good,Good,Low
7.6,216.6,2.5,0,Good,Good,Moderate,Good,Low
7.8,222.4,0.1,3,Good,Good,Good,Moderate,Low
7.3,230.2,3.0,0,Good,Good,Moderate,Good,Low
9.6,449.2,8.7,9,Poor,Poor,Poor,Poor,High
7.2,256.9,0.9,0,Good,Good,Good,Good,Low
7.7,191.6,0.9,0,Good,Moderate,Good,Good,Low
8.5,230.6,0.7,0,Moderate,Good,Good,Good,Low
7.2,317.1,0.9,0,Good,Moderate,Good,Good,Low
7.8,242.7,0.7,4,Good,Good,Good,Moderate,Low
6.6,243.6,3.8,0,Moderate,Good,Moderate,Good,Medium
6.5,268.4,0.1,0,Moderate,Good,Good,Good,Low
7.3,192.9,0.2,0,Good,Moderate,Good,Good,Low
8.3,457.0,3.8,4,Moderate,Poor,Moderate,Moderate,High
6.6,99.2,12.3,14,Moderate,Poor,Poor,Poor,High
7.9,397.6,5.7,25,Moderate,Poor,Poor,Poor,High
9.0,373.1,13.5,20,Poor,Poor,Poor,Poor,High
7.4,217.0,2.7,0,Good,Good,Moderate,Good,Low
6.8,242.2,9.2,27,Moderate,Good,Poor,Poor,High
7.5,267.8,0.5,3,Good,Good,Good,Moderate,Low
9.0,713.2,3.4,8,Poor,Poor,Moderate,Poor,High
7.5,271.3,0.5,0,Good,Moderate,Good,Good,Low
6.8,151.1,1.1,1,Moderate,Moderate,Moderate,Moderate,Medium
7.2,192.7,0.5,0,Good,Moderate,Good,Good,Low
5.2,564.2,6.5,5,Poor,Poor,Poor,Moderate,High
9.9,200.6,10.4,14,Poor,Good,Poor,Poor,High
5.2,85.2,5.8,8,Poor,Poor,Poor,Poor,High
7.1,221.1,0.2,5,Good,Good,Good,Moderate,Low
7.6,247.5,4.6,3,Good,Good,Moderate,Moderate,Medium
7.6,213.7,3.6,5,Good,Good,Moderate,Moderate,Medium
7.0,294.7,4.2,0,Moderate,Moderate,Moderate,Good,Medium
7.7,266.5,1.1,0,Good,Good,Moderate,Good,Low
7.3,268.0,0.2,2,Good,Good,Good,Moderate,Low
7.2,161.9,4.0,5,Good,Moderate,Moderate,Moderate,Medium
7.2,265.7,2.2,2,Good,Good,Moderate,Moderate,Medium
8.0,180.8,10.4,6,Moderate,Moderate,Poor,Poor,High
9.2,593.2,11.9,29,Poor,Poor,Poor,Poor,High
6.0,147.1,13.3,24,Poor,Poor,Poor,Poor,High
7.0,320.8,1.0,5,Moderate,Moderate,Moderate,Moderate,Medium
8.1,210.4,1.3,3,Moderate,Good,Moderate,Moderate,Medium
7.4,264.1,2.3,3,Good,Good,Moderate,Moderate,Medium
6.9,178.0,1.1,27,Moderate,Moderate,Moderate,Poor,High
4.7,795.9,7.0,13,Poor,Poor,Poor,Poor,High
7.9,339.6,2.6,4,Moderate,Moderate,Moderate,Moderate,Medium
5.9,150.4,6.3,5,Poor,Moderate,Poor,Moderate,High
5.5,634.7,5.3,4,Poor,Poor,Poor,Moderate,High
7.2,262.2,0.5,2,Good,Good,Good,Moderate,Low
8.1,230.8,0.5,0,Moderate,Good,Good,Good,Low
7.6,489.9,8.5,9,Good,Poor,Poor,Poor,High
9.3,758.5,7.0,12,Poor,Poor,Poor,Poor,High
7.7,155.9,4.2,5,Good,Moderate,Moderate,Moderate,Medium
6.7,256.4,4.7,1,Moderate,Good,Moderate,Moderate,Medium
6.8,646.5,11.2,19,Moderate,Poor,Poor,Poor,High
8.2,198.3,1.3,0,Moderate,Moderate,Moderate,Good,Medium
7.0,267.0,0.3,0,Moderate,Good,Good,Good,Low
7.7,309.5,4.2,5,Good,Moderate,Moderate,Moderate,Medium
7.0,260.3,2.1,4,Moderate,Good,Moderate,Moderate,Medium
9.0,50.9,4.5,7,Poor,Poor,Moderate,Poor,High
8.2,301.1,2.9,0,Moderate,Moderate,Moderate,Good,Medium
8.2,203.0,0.9,0,Moderate,Good,Good,Good,Low
7.6,571.6,2.1,6,Good,Poor,Moderate,Poor,High
8.6,207.4,13.5,29,Poor,Good,Poor,Poor,High
7.2,339.4,4.3,5,Good,Moderate,Moderate,Moderate,Medium
6.7,174.0,0.5,5,Moderate,Moderate,Good,Moderate,Medium
7.3,482.7,7.4,4,Good,Poor,Poor,Moderate,High
8.1,171.8,0.5,3,Moderate,Moderate,Good,Moderate,Medium
7.6,260.7,1.6,0,Good,Good,Moderate,Good,Low
8.1,246.7,2.3,3,Moderate,Good,Moderate,Moderate,Medium
7.1,310.4,4.0,0,Good,Moderate,Moderate,Good,Medium
7.5,254.2,3.5,0,Good,Good,Moderate,Good,Low
9.3,356.0,8.3,2,Poor,Poor,Poor,Moderate,High
7.1,308.3,5.3,0,Good,Moderate,Poor,Good,High
7.7,249.5,0.1,2,Good,Good,Good,Moderate,Low
7.2,210.9,1.7,0,Good,Good,Moderate,Good,Low
9.0,549.7,1.8,20,Poor,Poor,Moderate,Poor,High
5.9,407.5,5.9,22,Poor,Poor,Poor,Poor,High
5.7,347.5,13.4,1,Poor,Moderate,Poor,Moderate,High
7.4,233.7,0.1,5,Good,Good,Good,Moderate,Low
6.4,671.7,6.5,19,Poor,Poor,Poor,Poor,High
7.6,247.6,2.1,1,Good,Good,Moderate,Moderate,Medium
8.2,233.0,0.4,2,Moderate,Good,Good,Moderate,Medium
7.8,307.0,0.6,0,Good,Moderate,Good,Good,Low
7.2,237.0,2.9,0,Good,Good,Moderate,Good,Low
6.5,249.4,9.7,20,Moderate,Good,Poor,Poor,High
8.2,621.2,3.6,5,Moderate,Poor,Moderate,Moderate,High
7.5,568.9,9.8,8,Good,Poor,Poor,Poor,High
7.6,214.2,0.0,1,Good,Good,Good,Moderate,Low
7.0,121.6,5.6,29,Moderate,Poor,Poor,Poor,High
7.8,322.8,1.9,2,Good,Moderate,Moderate,Moderate,Medium
8.8,141.5,8.9,13,Poor,Poor,Poor,Poor,High
7.5,288.2,0.3,0,Good,Moderate,Good,Good,Low
7.5,232.3,4.7,3,Good,Good,Moderate,Moderate,Medium
6.3,652.1,0.1,8,Poor,Poor,Good,Poor,High
4.9,113.6,14.8,15,Poor,Poor,Poor,Poor,High
9.0,588.6,14.3,12,Poor,Poor,Poor,Poor,High
7.0,287.9,0.7,4,Moderate,Moderate,Good,Moderate,Medium
8.2,179.2,2.9,18,Moderate,Moderate,Moderate,Poor,High
9.8,685.4,5.3,27,Poor,Poor,Poor,Poor,High
7.3,261.6,0.3,4,Good,Good,Good,Moderate,Low
7.8,328.5,4.9,4,Good,Moderate,Moderate,Moderate,Medium
7.3,205.3,0.7,5,Good,Good,Good,Moderate,Low
