epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.4278,1.86571,1.37706,1.41189,0.78741,0.65931,0.75588,0.39421,1.65379,1.05336,1.37625,9.97525e-05,9.97525e-05,0.0668489
2,135.286,1.66235,1.04791,1.28942,0.85014,0.69081,0.80727,0.44658,1.49725,0.91016,1.28423,0.000199704,0.000199704,0.0336155
3,200.896,1.56511,0.9738,1.24622,0.8442,0.72432,0.82415,0.47689,1.40439,0.82367,1.24226,0.00029946,0.00029946,0.000381968
4,266.861,1.51653,0.93949,1.23086,0.84373,0.77097,0.84482,0.49088,1.36533,0.82182,1.19538,0.000299341,0.000299341,0.000299341
5,333.155,1.45327,0.90436,1.19578,0.86645,0.77714,0.85767,0.50239,1.33785,0.76554,1.1876,0.000298829,0.000298829,0.000298829
6,399.324,1.4406,0.86461,1.18535,0.87168,0.7753,0.85927,0.50778,1.34086,0.7369,1.17421,0.000298172,0.000298172,0.000298172
7,465.886,1.42714,0.87738,1.18289,0.87071,0.78162,0.86503,0.52465,1.25951,0.72798,1.15162,0.00029737,0.00029737,0.00029737
8,533.924,1.4001,0.83777,1.16961,0.85285,0.76494,0.85152,0.51342,1.29637,0.7213,1.16657,0.000296424,0.000296424,0.000296424
9,598.946,1.39032,0.83712,1.16345,0.86784,0.7616,0.85926,0.52526,1.2535,0.72595,1.14564,0.000295335,0.000295335,0.000295335
10,663.218,1.36521,0.82401,1.15711,0.86171,0.77372,0.86148,0.53163,1.22845,0.71362,1.1422,0.000294104,0.000294104,0.000294104
11,729.869,1.36627,0.81413,1.15282,0.86907,0.78208,0.86622,0.5334,1.24013,0.69949,1.13103,0.000292732,0.000292732,0.000292732
12,797.261,1.34185,0.79449,1.14391,0.87558,0.77869,0.86394,0.53933,1.22779,0.67776,1.12774,0.000291221,0.000291221,0.000291221
13,867.784,1.32398,0.77814,1.13678,0.87711,0.77544,0.87156,0.54858,1.18961,0.66312,1.10675,0.000289572,0.000289572,0.000289572
14,935.428,1.32856,0.77387,1.13321,0.88768,0.79166,0.87704,0.54219,1.22345,0.65833,1.12942,0.000287787,0.000287787,0.000287787
15,1002.43,1.31877,0.76631,1.13594,0.88081,0.79774,0.87592,0.5409,1.23499,0.64753,1.13522,0.000285867,0.000285867,0.000285867
16,1066.77,1.29617,0.74105,1.12101,0.88569,0.78499,0.87249,0.54735,1.19906,0.64266,1.11087,0.000283814,0.000283814,0.000283814
17,1133.88,1.28055,0.73448,1.11591,0.87522,0.79166,0.87618,0.55168,1.18402,0.65575,1.11487,0.000281632,0.000281632,0.000281632
18,1199.53,1.27828,0.72241,1.11493,0.8848,0.80124,0.87964,0.55285,1.18583,0.62621,1.11448,0.00027932,0.00027932,0.00027932
19,1265.84,1.26766,0.71877,1.11076,0.88938,0.79104,0.88067,0.55512,1.18565,0.63319,1.10704,0.000276883,0.000276883,0.000276883
