epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.542,2.13371,1.65875,1.45752,0.67401,0.6314,0.65179,0.25585,1.91291,1.29916,1.36167,0.00016601,0.00016601,0.0669639
2,191.39,2.02595,1.4255,1.41898,0.65135,0.6614,0.68423,0.29092,1.8551,1.23659,1.35758,0.000329384,0.000329384,0.033794
3,289.438,2.02115,1.33164,1.37624,0.70971,0.67067,0.72384,0.31585,1.85458,1.1312,1.36096,0.000489457,0.000489457,0.00062069
4,392.008,1.93059,1.25976,1.34104,0.71589,0.68012,0.72876,0.31772,1.86473,1.11411,1.35455,0.00048515,0.00048515,0.00048515
5,494.23,1.96051,1.22872,1.37399,0.69294,0.69876,0.74257,0.32564,1.8374,1.09081,1.34966,0.0004802,0.0004802,0.0004802
6,596.84,1.92276,1.21266,1.32957,0.73959,0.66874,0.73498,0.32512,1.81203,1.0838,1.32757,0.00047525,0.00047525,0.00047525
7,699.173,1.91665,1.18963,1.33323,0.74038,0.6646,0.73446,0.32655,1.8483,1.12438,1.36489,0.0004703,0.0004703,0.0004703
8,809.952,1.91559,1.19627,1.33915,0.7565,0.69255,0.76246,0.3321,1.82366,1.08917,1.3619,0.00046535,0.00046535,0.00046535
9,920.526,1.92966,1.14608,1.32234,0.73867,0.69056,0.74709,0.32692,1.84184,1.06803,1.3606,0.0004604,0.0004604,0.0004604
10,1036.96,1.9162,1.15427,1.32525,0.73878,0.69386,0.75601,0.34007,1.80528,1.07431,1.33835,0.00045545,0.00045545,0.00045545
11,1158.57,1.88545,1.1892,1.31095,0.76146,0.68841,0.75389,0.31407,1.82143,1.0628,1.34379,0.0004505,0.0004505,0.0004505
12,1286.54,1.90349,1.14103,1.31945,0.73278,0.68219,0.74536,0.33211,1.83993,1.06428,1.3558,0.00044555,0.00044555,0.00044555
13,1414.78,1.84414,1.10679,1.28907,0.70437,0.68841,0.73721,0.33284,1.83325,1.03405,1.34947,0.0004406,0.0004406,0.0004406
14,1544.24,1.85738,1.10594,1.28191,0.74188,0.69323,0.75968,0.34124,1.7972,1.0573,1.33192,0.00043565,0.00043565,0.00043565
15,1670.94,1.86908,1.12168,1.31469,0.72173,0.68196,0.74548,0.33817,1.80325,1.05389,1.35497,0.0004307,0.0004307,0.0004307
16,1793.64,1.90391,1.1065,1.33612,0.7217,0.69151,0.75315,0.33778,1.81563,1.03842,1.33731,0.00042575,0.00042575,0.00042575
17,1919,1.87418,1.1039,1.29544,0.75764,0.69255,0.76887,0.34822,1.80086,1.02739,1.33306,0.0004208,0.0004208,0.0004208
18,2044.88,1.84788,1.08973,1.27826,0.7673,0.65528,0.75312,0.34392,1.79805,1.01044,1.33078,0.00041585,0.00041585,0.00041585
19,2170.79,1.8673,1.07652,1.30581,0.75988,0.69778,0.76756,0.35244,1.79346,1.01026,1.32343,0.0004109,0.0004109,0.0004109
20,2297.93,1.83941,1.06943,1.29653,0.75278,0.6714,0.76023,0.34699,1.80599,1.00899,1.33652,0.00040595,0.00040595,0.00040595
21,2414.96,1.83262,1.0734,1.28148,0.74444,0.71014,0.77612,0.34596,1.83743,0.99751,1.35143,0.000401,0.000401,0.000401
22,2533.35,1.84555,1.04641,1.26932,0.75163,0.69548,0.76334,0.3412,1.83847,0.98087,1.34271,0.00039605,0.00039605,0.00039605
23,2648.88,1.81274,1.03558,1.27507,0.70903,0.68634,0.74481,0.32598,1.85576,1.05439,1.35714,0.0003911,0.0003911,0.0003911
24,2765.43,1.80847,1.02843,1.27868,0.76787,0.68144,0.76732,0.34258,1.83298,1.01095,1.35655,0.00038615,0.00038615,0.00038615
25,2880.18,1.85025,1.07073,1.28331,0.74889,0.68634,0.76942,0.34346,1.83721,0.99866,1.35354,0.0003812,0.0003812,0.0003812
26,2997.9,1.79096,1.06599,1.28074,0.76435,0.69506,0.76875,0.34303,1.82107,1.01561,1.34476,0.00037625,0.00037625,0.00037625
27,3115.42,1.81643,1.04729,1.292,0.7703,0.68323,0.76654,0.34374,1.83153,0.99612,1.36096,0.0003713,0.0003713,0.0003713
28,3230.84,1.80288,1.02152,1.28139,0.73106,0.67184,0.74869,0.33817,1.8203,1.02444,1.34039,0.00036635,0.00036635,0.00036635
29,3364.44,1.79238,1.02691,1.27719,0.73951,0.69651,0.75136,0.34814,1.79067,0.97986,1.32728,0.0003614,0.0003614,0.0003614
30,4371.46,1.78028,1.00905,1.25774,0.74541,0.71227,0.76844,0.34364,1.83351,0.97997,1.31829,0.00035645,0.00035645,0.00035645
31,4494.03,1.80868,1.00722,1.25716,0.75202,0.70636,0.76572,0.35125,1.79636,0.98111,1.32852,0.0003515,0.0003515,0.0003515
32,4624.95,1.79125,1.05855,1.25528,0.74447,0.69255,0.76115,0.34562,1.82947,0.98728,1.34537,0.00034655,0.00034655,0.00034655
33,4750.29,1.77095,0.99526,1.25808,0.77958,0.69565,0.77591,0.35012,1.83979,0.96952,1.35928,0.0003416,0.0003416,0.0003416
34,4875.16,1.78175,1.00084,1.27853,0.77527,0.70354,0.7863,0.34891,1.81652,0.9917,1.35183,0.00033665,0.00033665,0.00033665
